timestamp_ms,raw_gx,raw_gy,raw_gz,filt_gx,filt_gy,filt_gz,pid_roll_out,pid_pitch_out,pid_yaw_out,pid_roll_err,pid_pitch_err,pid_yaw_err,acc_x,acc_y,acc_z
84942,-0.793457,0.366211,0.000000,-2.474044,0.596218,-0.579665,-16.109510,10.181117,-3.195948,-80.547546,50.905586,4.736415,-1.732227,-3.670215,8.756836
84947,-0.793457,0.366211,0.000000,-2.137927,0.550216,-0.463732,-16.109510,10.181117,-3.219991,-80.547546,50.905586,4.736415,-1.732227,-3.670215,8.756836
84952,-0.793457,0.366211,0.000000,-1.869033,0.513415,-0.370986,-16.109510,10.181117,-3.219991,-80.547546,50.905586,4.736415,-1.732227,-3.670215,8.756836
84957,-0.793457,0.366211,0.000000,-1.653918,0.483974,-0.296789,-16.092476,10.171164,-3.225167,-80.462379,50.855816,4.736415,-1.732227,-3.670215,8.756836
84962,0.854492,0.122070,0.488281,-1.152236,0.411594,-0.139775,-16.092476,10.171164,-3.225167,-80.462379,50.855816,4.736415,-1.737012,-3.660645,8.742480
84967,0.854492,0.122070,0.488281,-0.750890,0.353689,-0.014163,-16.422066,10.219992,-3.320737,-82.110329,51.099957,4.248134,-1.737012,-3.660645,8.742480
84972,0.854492,0.122070,0.488281,-0.429814,0.307365,0.086325,-16.427973,10.214734,-3.342729,-82.139862,51.073669,4.248134,-1.737012,-3.660645,8.742480
84977,0.854492,0.122070,0.488281,-0.172952,0.270306,0.166717,-16.427973,10.214734,-3.342729,-82.139862,51.073669,4.248134,-1.737012,-3.660645,8.742480
84982,2.319336,-0.061035,0.854492,0.325505,0.204038,0.304272,-16.720942,10.251355,-3.407825,-83.604706,51.256775,3.881923,-1.732227,-3.713281,8.728125
84987,2.319336,-0.061035,0.854492,0.724271,0.151023,0.414316,-16.720942,10.251355,-3.407825,-83.604706,51.256775,3.881923,-1.732227,-3.713281,8.728125
84992,2.319336,-0.061035,0.854492,1.043284,0.108612,0.502351,-16.746334,10.246368,-3.430465,-83.731667,51.231842,3.881923,-1.732227,-3.713281,8.728125
